Rk,Pos,Name,Age,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
1,C,Brian McCann,32,130,492,429,56,104,13,0,20,58,1,0,54,99,0.242,0.335,0.413,0.748,99,177,15,7,0,2,2
2,1B,Mark Teixeira,36,116,438,387,43,79,16,0,15,44,2,0,47,105,0.204,0.292,0.362,0.654,74,140,7,2,0,2,1
3,2B,Starlin Castro,26,151,610,577,63,156,29,1,21,70,4,0,24,118,0.27,0.3,0.433,0.734,93,250,15,3,1,5,1
4,SS,Didi Gregorius,26,153,597,562,68,155,32,2,20,70,7,1,19,82,0.276,0.304,0.447,0.751,97,251,9,6,5,5,2
5,3B,Chase Headley,32,140,529,467,58,118,18,1,14,51,8,2,51,118,0.253,0.331,0.385,0.716,91,180,7,6,0,5,3
6,LF,Brett Gardner,32,148,634,547,80,143,22,6,7,41,16,4,70,106,0.261,0.351,0.362,0.713,92,198,6,8,4,5,0
7,CF,Jacoby Ellsbury,32,148,626,551,71,145,24,5,9,56,20,8,54,84,0.263,0.33,0.374,0.703,88,206,11,2,4,3,1
8,RF,Aaron Hicks,26,123,361,327,32,71,13,1,8,31,3,4,30,68,0.217,0.281,0.336,0.617,65,110,7,0,1,3,1
9,DH,Alex Rodriguez,40,65,243,225,19,45,7,0,9,31,3,0,14,67,0.2,0.247,0.351,0.598,58,79,4,1,0,3,0
10,UT,Carlos Beltran#\beltrca01,39,99,387,359,50,109,21,0,22,64,0,0,22,70,0.304,0.344,0.546,0.89,133,196,13,2,0,4,3
11,UT,Gary Sanchez\sanchga02,23,53,229,201,34,60,12,0,20,42,1,0,24,57,0.299,0.376,0.657,1.032,168,132,5,2,0,2,2
12,C,Austin Romine\rominau01,27,62,176,165,17,40,11,0,4,26,1,0,7,31,0.242,0.269,0.382,0.65,71,63,7,0,1,3,1
13,UT,Rob Refsnyder\refsnro01,25,58,175,152,25,38,9,0,0,12,2,1,18,30,0.25,0.328,0.309,0.637,73,47,5,1,0,3,2
14,3B,Ronald Torreyes\torrero01,23,72,169,155,20,40,7,4,1,12,2,1,10,20,0.258,0.305,0.374,0.68,81,58,4,1,1,1,0
15,RF,Aaron Judge\judgeaa01,24,27,95,84,10,15,2,0,4,10,0,1,9,42,0.179,0.263,0.345,0.608,61,29,2,1,0,1,0
16,1B,Tyler Austin\austity01,24,31,90,83,7,20,3,0,5,12,1,0,7,36,0.241,0.3,0.458,0.758,99,38,1,0,0,0,0
17,UT,Dustin Ackley*\ackledu01,28,28,70,61,6,9,0,0,0,4,0,0,8,9,0.148,0.243,0.148,0.39,9,9,0,0,0,1,0
18,UT,Billy Butler\butlebi03,30,12,32,29,3,10,2,0,1,4,0,0,2,8,0.345,0.375,0.517,0.892,136,15,0,0,0,1,0
19,UT,Mason Williams*\willima10,24,12,29,27,4,8,1,0,0,2,0,0,1,12,0.296,0.321,0.333,0.655,76,9,0,0,1,0,0
20,UT,Donovan Solano\solando01,28,9,23,22,5,5,2,0,1,2,0,0,1,3,0.227,0.261,0.455,0.715,86,10,0,0,0,0,0
21,1B,Ike Davis*\davisik02,29,8,15,14,2,3,0,0,0,1,0,0,1,5,0.214,0.267,0.214,0.481,32,3,1,0,0,0,0
22,RF,Ben Gamel*\gamelbe01,24,6,10,8,1,1,0,0,0,0,0,0,1,1,0.125,0.222,0.125,0.347,-3,1,1,0,1,0,0
23,1B,Chris Parmelee*\parmech01,28,6,8,8,4,4,1,0,2,4,0,0,0,3,0.5,0.5,1.375,1.875,374,11,0,0,0,0,0
24,UT,Eric Young#\younger03,31,6,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,-100,0,0,0,0,0,0
25,P,Nathan Eovaldi\eovalna01,26,3,7,5,0,0,0,0,0,0,0,0,1,4,0,0.167,0,0.167,-49,0,0,0,1,0,0
26,P,Ivan Nova\novaiv01,29,3,4,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-100,0,0,0,0,0,0
27,P,Chad Green*\greench03,25,2,4,4,0,0,0,0,0,0,0,0,0,4,0,0,0,0,-100,0,0,0,0,0,0
28,P,Masahiro Tanaka\tanakma01,27,1,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,-100,0,0,0,0,0,0
29,P,CC Sabathia*\sabatc.01,35,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-100,0,1,0,1,0,0
30,P,Michael Pineda\pinedmi01,27,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,-100,0,0,0,0,0,0
31,P,Branden Pinder\pindebr01,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
32,P,Johnny Barbato\barbajo01,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
33,P,Bryan Mitchell*\mitchbr01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
34,P,Tommy Layne*\layneto01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
35,P,Andrew Miller*\millean01,31,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
36,P,Tyler Clippard\clippty01,31,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
37,P,Luis Cessa\cessalu01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
38,P,Richard Bleier*\bleieri01,29,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
39,P,Dellin Betances\betande01,28,7,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
40,P,Aroldis Chapman*\chapmar01,28,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
41,P,James Pazos\pazosja01,25,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
42,P,Phil Coke*\cokeph01,33,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
43,P,Tyler Olson\olsonty01,26,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
44,P,Ben Heller\hellebe01,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
45,P,Jonathan Holder\holdejo02,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
46,P,Nick Goody\goodyni01,24,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
47,P,Kirby Yates*\yateski01,29,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
48,P,Luis Severino\severlu01,22,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
49,P,Anthony Swarzak\swarzan01,30,4,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
50,P,Blake Parker\parkebl01,31,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
51,P,Conor Mullee\mulleco01,28,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
52,P,Chasen Shreve*\shrevch01,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
53,P,Adam Warren\warread01,28,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
,,Team Totals,30.2,162,6059,5458,680,1378,245,20,183,647,72,22,475,1188,0.252,0.315,0.405,0.72,91,2212,121,42,21,49,19
,,Rank in 15 AL teams,,,,14,12,11,15,11,11,,9,2,8,4,10,12,12,13,,13,,14,,2,
,,Non-Pitcher Totals,30.3,162,6039,5441,680,1378,245,20,183,647,72,22,474,1174,0.253,0.315,0.407,0.722,92,2212,120,42,19,49,19
,,Pitcher Totals,24.1,162,20,17,0,0,0,0,0,0,0,0,1,14,0,0.056,0,0.056,-83,0,1,0,2,0,0